Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,-1.66505744749013,-0.300121027406746,-0.195569548342789,-1.71374269254262,0.856294729087764,-5.38251464221077,-22.5844818732987,-7.57666891152213,0.10609280092082,..
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-11.1879052989609,8.14996793452505,3.81743447071763,5.52482598081943,4.88935288088643,5.28357949627288,3.64975808463876,-1.81016536329729,10.6641494274411,6.45698822084806,5.63293544264612,5.66395904797913
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.66808064996022,2.35726435010288,1.09962061859601,1.78594064734014,-0.541667024495979,-0.546019580108478,-0.939992962004737,-6.61247509707083,2.13263632683078,1.96825188100587,2.55120301943617,2.25996527082104
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,4.29662336687659,-0.488137584297121,-5.79936404816848,4.03850712136055,0.897584681397618,5.3517874262504,0.297884820349225,3.59327606262792,..,..
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.119515604880633,3.56776571144128,3.63079793724701,3.69962046811506,-1.80605703312767,-0.30211930399588,0.265352820614368,-12.2238384935431,6.92704485233561,7.72123800096536,1.1232590791063,2.00678445056737
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.670526972975,-0.302928309232016,-2.80470818378251,-5.15402904669538,-3.62286501702881,-3.96852454312942,-3.52900012504749,-7.1276148271679,-1.0943408561201,0.991406795873331,-1.80870334166293,1.29293270746824
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.43486298151443,4.43708445751554,0.691094824520249,3.47228425039911,2.1461875762954,6.17448976886325,2.67761319425004,-19.2945462845167,7.58367481372255,8.53077119658229,1.90488641843235,3.15232127757128
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.91119229289714,-1.90684139222867,1.66091253843923,-3.02450095578762,1.91639608148853,-3.41553683867816,-2.69506723533574,-10.3361096878518,10.1485599877349,5.79747980169367,-2.13703473540124,-1.68352700528746
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,4.13075887426186,3.51599547257022,0.611877151180408,7.96544606461424,5.56850117850011,7.83608438672164,-7.16866452731679,5.77142760758333,12.3383335576379,8.47902034166535,3.48421625230606
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.134479696268457,6.51922376579444,2.55621874043514,0.469912651203259,3.48581549286742,3.0485184481057,0.951663645650427,-23.4662729790643,15.6755189518506,11.0385203097525,7.65763965694018,6.1817507755927
